PV Array & Battery Report
,"PV and Battery required based on Prescriptive tables:  275.8 kWdc PV  /  Battery Energy 261.7 kWh and Power 65.42 kW (Time of Use control)"
,"Standard Design PV Capacity: 275.8 kWdc  /  Battery Capacity: 261.7 kWh  (power 65.42 kW, Time of Use control)"
,"User-specified PV and Battery:  274.5 kWdc PV  /  260.2 kWh Battery  (65.0/65.0 charge/discharge rate (kW), Time of Use control)"

Prescriptive PV/Battery Requirements:
Space/ResOtherZn/ResZn,,,,,,NonRes & HiRiseRes Multiplied Areas by PVBattery Bldg Type,,,,,,,,,,,,,LowRiseRes,,Prescriptive Capacities:
Name,Conditioning Type,Space Function,PV/Batt Bldg Type,Floor Area,Multiplier,"Events, Exhibits",Library,Hotel/Motel,"Office, Financial, Unleased, Med Office/Clinic",Restaurants,"Retail, Grocery",School,Warehouse,Religious Worship,"Sports, Recreation",Highrise Multifamily,none,# Res Dwellings,MultArea,,PV,Batt Energy,Batt Power
,,,,(ft2),,(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),,(ft2),,(kWdc),(kWh),(kW)
"F1 Retail SW Core","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Retail, Grocery",1440,1,,,,,,1440,,,,,,,,,,5.256,2.98611,0.746526,
"F1 Retail SW Top","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Retail, Grocery",1548,1,,,,,,1548,,,,,,,,,,5.6502,3.21006,0.802516,
"F1 Business Center","Conditioned","Conference, Multipurpose and Meeting Area","Sports, Recreation",360,1,,,,,,,,,,360,,,,,,0.8892,0.579789,0.144947,
"F1 Corridor","Conditioned","Corridor Area","Sports, Recreation",1464,1,,,,,,,,,,1464,,,,,,3.61608,2.35781,0.589453,
"F1 Fitness Center","Conditioned","Exercise/Fitness Center and Gymnasium Areas","Sports, Recreation",900,1,,,,,,,,,,900,,,,,,2.223,1.44947,0.362368,
"F1 Leasing Office","Conditioned","Office Area (>250 square feet)","Office, Financial, Unleased, Med Office/Clinic",414,1,,,,414,,,,,,,,,,,,1.29582,2.29225,0.573063,
"F1 Lobby","Conditioned","Lobby, Main Entry","Sports, Recreation",1050,1,,,,,,,,,,1050,,,,,,2.5935,1.69105,0.422763,
"F1 Mech Rm","Unconditioned","Electrical, Mechanical, Telephone Rooms","Sports, Recreation",384,1,,,,,,,,,,0,,,,,,0,0,0,
"F1 Stairs E","Conditioned","Stairwell","Sports, Recreation",180,1,,,,,,,,,,180,,,,,,0.4446,0.289895,0.0724737,
"F1 Stairs W","Conditioned","Stairwell","Sports, Recreation",180,1,,,,,,,,,,180,,,,,,0.4446,0.289895,0.0724737,
"F2 Corridor","Conditioned","Corridor Area","Highrise Multifamily",2340,1,,,,,,,,,,,2340,,,,,5.1714,5.59137,1.39784,
"F2 Break Room","Conditioned","Lounge, Breakroom, or Waiting Area","Highrise Multifamily",180,1,,,,,,,,,,,180,,,,,0.3978,0.430105,0.107526,
"F2 Stairs E","Conditioned","Stairwell","Highrise Multifamily",180,1,,,,,,,,,,,180,,,,,0.3978,0.430105,0.107526,
"F2 Stairs W","Conditioned","Stairwell","Highrise Multifamily",180,1,,,,,,,,,,,180,,,,,0.3978,0.430105,0.107526,
"F3 Corridor","Conditioned","Corridor Area","Highrise Multifamily",2340,1,,,,,,,,,,,2340,,,,,5.1714,5.59137,1.39784,
"F3 Break Room","Conditioned","Lounge, Breakroom, or Waiting Area","Highrise Multifamily",180,1,,,,,,,,,,,180,,,,,0.3978,0.430105,0.107526,
"F3 Stairs E","Conditioned","Stairwell","Highrise Multifamily",180,1,,,,,,,,,,,180,,,,,0.3978,0.430105,0.107526,
"F3 Stairs W","Conditioned","Stairwell","Highrise Multifamily",180,1,,,,,,,,,,,180,,,,,0.3978,0.430105,0.107526,
"F4 Corridor","Conditioned","Corridor Area","Highrise Multifamily",2340,1,,,,,,,,,,,2340,,,,,5.1714,5.59137,1.39784,
"F4 Break Room","Conditioned","Lounge, Breakroom, or Waiting Area","Highrise Multifamily",180,1,,,,,,,,,,,180,,,,,0.3978,0.430105,0.107526,
"F4 Stairs E","Conditioned","Stairwell","Highrise Multifamily",180,1,,,,,,,,,,,180,,,,,0.3978,0.430105,0.107526,
"F4 Stairs W","Conditioned","Stairwell","Highrise Multifamily",180,1,,,,,,,,,,,180,,,,,0.3978,0.430105,0.107526,
"F5 Corridor","Conditioned","Corridor Area","Highrise Multifamily",2340,1,,,,,,,,,,,2340,,,,,5.1714,5.59137,1.39784,
"F5 Break Room","Conditioned","Lounge, Breakroom, or Waiting Area","Highrise Multifamily",180,1,,,,,,,,,,,180,,,,,0.3978,0.430105,0.107526,
"F5 Stairs E","Conditioned","Stairwell","Highrise Multifamily",180,1,,,,,,,,,,,180,,,,,0.3978,0.430105,0.107526,
"F5 Stairs W","Conditioned","Stairwell","Highrise Multifamily",180,1,,,,,,,,,,,180,,,,,0.3978,0.430105,0.107526,
"UG Garage","Unconditioned","Parking Garage Area (Parking Zone and Ramps)","none",27900,1,,,,,,,,,,,,0,,,,0,0,0,
"F2 Res Zn E Court","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1440,1,,1440,,,,,,,,,,,2,,,3.1824,3.44084,0.860211,
"F2 Res Zn E Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",2160,1,,2160,,,,,,,,,,,2,,,4.7736,5.16126,1.29032,
"F2 Res Zn N Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",3600,1,,3600,,,,,,,,,,,5,,,7.956,8.60211,2.15053,
"F2 Res Zn NE Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1410,1,,1410,,,,,,,,,,,1,,,3.1161,3.36916,0.842289,
"F2 Res Zn NW Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1410,1,,1410,,,,,,,,,,,1,,,3.1161,3.36916,0.842289,
"F2 Res Zn S Court 1-Bed","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",720,1,,720,,,,,,,,,,,1,,,1.5912,1.72042,0.430105,
"F2 Res Zn S Court 2-Bed","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",2160,1,,2160,,,,,,,,,,,2,,,4.7736,5.16126,1.29032,
"F2 Res Zn SE Court","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",540,1,,540,,,,,,,,,,,1,,,1.1934,1.29032,0.322579,
"F2 Res Zn SW Court","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",540,1,,540,,,,,,,,,,,1,,,1.1934,1.29032,0.322579,
"F2 Res Zn SE Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1080,1,,1080,,,,,,,,,,,1,,,2.3868,2.58063,0.645158,
"F2 Res Zn SW Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1080,1,,1080,,,,,,,,,,,1,,,2.3868,2.58063,0.645158,
"F2 Res Zn W Court","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1440,1,,1440,,,,,,,,,,,2,,,3.1824,3.44084,0.860211,
"F2 Res Zn W Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",2160,1,,2160,,,,,,,,,,,2,,,4.7736,5.16126,1.29032,
"F3 Res Zn E Court","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1440,1,,1440,,,,,,,,,,,2,,,3.1824,3.44084,0.860211,
"F3 Res Zn E Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",2160,1,,2160,,,,,,,,,,,2,,,4.7736,5.16126,1.29032,
"F3 Res Zn N Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",3600,1,,3600,,,,,,,,,,,5,,,7.956,8.60211,2.15053,
"F3 Res Zn NE Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1410,1,,1410,,,,,,,,,,,1,,,3.1161,3.36916,0.842289,
"F3 Res Zn NW Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1410,1,,1410,,,,,,,,,,,1,,,3.1161,3.36916,0.842289,
"F3 Res Zn S Court 1-Bed","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",720,1,,720,,,,,,,,,,,1,,,1.5912,1.72042,0.430105,
"F3 Res Zn S Court 2-Bed","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",2160,1,,2160,,,,,,,,,,,2,,,4.7736,5.16126,1.29032,
"F3 Res Zn SE Court","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",540,1,,540,,,,,,,,,,,1,,,1.1934,1.29032,0.322579,
"F3 Res Zn SW Court","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",540,1,,540,,,,,,,,,,,1,,,1.1934,1.29032,0.322579,
"F3 Res Zn SE Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1080,1,,1080,,,,,,,,,,,1,,,2.3868,2.58063,0.645158,
"F3 Res Zn SW Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1080,1,,1080,,,,,,,,,,,1,,,2.3868,2.58063,0.645158,
"F3 Res Zn W Court","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1440,1,,1440,,,,,,,,,,,2,,,3.1824,3.44084,0.860211,
"F3 Res Zn W Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",2160,1,,2160,,,,,,,,,,,2,,,4.7736,5.16126,1.29032,
"F4 Res Zn E Court","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1440,1,,1440,,,,,,,,,,,2,,,3.1824,3.44084,0.860211,
"F4 Res Zn E Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",2160,1,,2160,,,,,,,,,,,2,,,4.7736,5.16126,1.29032,
"F4 Res Zn N Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",3600,1,,3600,,,,,,,,,,,5,,,7.956,8.60211,2.15053,
"F4 Res Zn NE Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1410,1,,1410,,,,,,,,,,,1,,,3.1161,3.36916,0.842289,
"F4 Res Zn NW Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1410,1,,1410,,,,,,,,,,,1,,,3.1161,3.36916,0.842289,
"F4 Res Zn S Court 1-Bed","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",720,1,,720,,,,,,,,,,,1,,,1.5912,1.72042,0.430105,
"F4 Res Zn S Court 2-Bed","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",2160,1,,2160,,,,,,,,,,,2,,,4.7736,5.16126,1.29032,
"F4 Res Zn SE Court","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",540,1,,540,,,,,,,,,,,1,,,1.1934,1.29032,0.322579,
"F4 Res Zn SW Court","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",540,1,,540,,,,,,,,,,,1,,,1.1934,1.29032,0.322579,
"F4 Res Zn SE Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1080,1,,1080,,,,,,,,,,,1,,,2.3868,2.58063,0.645158,
"F4 Res Zn SW Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1080,1,,1080,,,,,,,,,,,1,,,2.3868,2.58063,0.645158,
"F4 Res Zn W Court","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1440,1,,1440,,,,,,,,,,,2,,,3.1824,3.44084,0.860211,
"F4 Res Zn W Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",2160,1,,2160,,,,,,,,,,,2,,,4.7736,5.16126,1.29032,
"F5 Res Zn E Court","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1440,1,,1440,,,,,,,,,,,2,,,3.1824,3.44084,0.860211,
"F5 Res Zn E Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",2160,1,,2160,,,,,,,,,,,2,,,4.7736,5.16126,1.29032,
"F5 Res Zn N Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",3600,1,,3600,,,,,,,,,,,5,,,7.956,8.60211,2.15053,
"F5 Res Zn NE Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1410,1,,1410,,,,,,,,,,,1,,,3.1161,3.36916,0.842289,
"F5 Res Zn NW Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1410,1,,1410,,,,,,,,,,,1,,,3.1161,3.36916,0.842289,
"F5 Res Zn S Court 1-Bed","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",720,1,,720,,,,,,,,,,,1,,,1.5912,1.72042,0.430105,
"F5 Res Zn S Court 2-Bed","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",2160,1,,2160,,,,,,,,,,,2,,,4.7736,5.16126,1.29032,
"F5 Res Zn SE Court","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",540,1,,540,,,,,,,,,,,1,,,1.1934,1.29032,0.322579,
"F5 Res Zn SW Court","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",540,1,,540,,,,,,,,,,,1,,,1.1934,1.29032,0.322579,
"F5 Res Zn SE Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1080,1,,1080,,,,,,,,,,,1,,,2.3868,2.58063,0.645158,
"F5 Res Zn SW Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1080,1,,1080,,,,,,,,,,,1,,,2.3868,2.58063,0.645158,
"F5 Res Zn W Court","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1440,1,,1440,,,,,,,,,,,2,,,3.1824,3.44084,0.860211,
"F5 Res Zn W Perim","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",2160,1,,2160,,,,,,,,,,,2,,,4.7736,5.16126,1.29032,
,,,,,Sums:,0,0,0,414,0,17613,0,0,0,4134,90480,0,88,0,,275.755,261.674,65.4184,
,,Bldg Cond Area:,112641,,Pcts:,0.0,0.0,0.0,0.4,0.0,15.6,0.0,0.0,0.0,3.7,80.3,0.0,,0.0,
